fold_id,selection_start,selection_end,certification_start,certification_end,test_start,test_end,selected_count,selected_drivers,driver_pool_count,penalty,max_drivers,selection_dates_used,certification_dates_used,test_dates_used
1,2002-01-07T00:00:00,2003-12-11T00:00:00,2003-12-12T00:00:00,2004-11-29T00:00:00,2004-11-30T00:00:00,2005-05-24T00:00:00,4,Cboe Volatility Index | DAX INDEX | US Generic Govt 5 Yr | S&P/BMV IPC,102,0.01,8,504,252,126
2,2002-07-02T00:00:00,2004-06-04T00:00:00,2004-06-07T00:00:00,2005-05-24T00:00:00,2005-05-25T00:00:00,2005-11-16T00:00:00,3,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC,102,0.01,8,504,252,126
3,2002-12-25T00:00:00,2004-11-29T00:00:00,2004-11-30T00:00:00,2005-11-16T00:00:00,2005-11-17T00:00:00,2006-05-11T00:00:00,3,Cboe Volatility Index | DAX INDEX | BRAZIL IBOVESPA INDEX,102,0.01,8,504,252,126
4,2003-06-19T00:00:00,2005-05-24T00:00:00,2005-05-25T00:00:00,2006-05-11T00:00:00,2006-05-12T00:00:00,2006-11-03T00:00:00,2,Cboe Volatility Index | DAX INDEX,102,0.01,8,504,252,126
5,2003-12-12T00:00:00,2005-11-16T00:00:00,2005-11-17T00:00:00,2006-11-03T00:00:00,2006-11-06T00:00:00,2007-04-30T00:00:00,2,Cboe Volatility Index | S&P/BMV IPC,102,0.01,8,504,252,126
6,2004-06-07T00:00:00,2006-05-11T00:00:00,2006-05-12T00:00:00,2007-04-30T00:00:00,2007-05-01T00:00:00,2007-10-25T00:00:00,2,Cboe Volatility Index | DAX INDEX,102,0.01,8,504,252,126
7,2004-11-30T00:00:00,2006-11-03T00:00:00,2006-11-06T00:00:00,2007-10-25T00:00:00,2007-10-26T00:00:00,2008-04-18T00:00:00,1,Cboe Volatility Index,102,0.01,8,504,252,126
8,2005-05-25T00:00:00,2007-04-30T00:00:00,2007-05-01T00:00:00,2008-04-18T00:00:00,2008-04-21T00:00:00,2008-10-13T00:00:00,2,Cboe Volatility Index | S&P/BMV IPC,102,0.01,8,504,252,126
9,2005-11-17T00:00:00,2007-10-25T00:00:00,2007-10-26T00:00:00,2008-10-13T00:00:00,2008-10-14T00:00:00,2009-04-07T00:00:00,2,Cboe Volatility Index | BRAZIL IBOVESPA INDEX,102,0.01,8,504,252,126
10,2006-05-12T00:00:00,2008-04-18T00:00:00,2008-04-21T00:00:00,2009-04-07T00:00:00,2009-04-08T00:00:00,2009-09-30T00:00:00,3,Cboe Volatility Index | S&P/BMV IPC | CAD-JPY X-RATE,102,0.01,8,504,252,126
11,2006-11-06T00:00:00,2008-10-13T00:00:00,2008-10-14T00:00:00,2009-09-30T00:00:00,2009-10-01T00:00:00,2010-03-25T00:00:00,5,Cboe Volatility Index | S&P/BMV IPC | Mexican Peso Spot | US Generic Govt 2 Yr | Gold Spot   $/Oz,102,0.01,8,504,252,126
12,2007-05-01T00:00:00,2009-04-07T00:00:00,2009-04-08T00:00:00,2010-03-25T00:00:00,2010-03-26T00:00:00,2010-09-17T00:00:00,4,S&P/BMV IPC | Cboe Volatility Index | Mexican Peso Spot | EUR-SEK X-RATE,102,0.01,8,504,252,126
13,2007-10-26T00:00:00,2009-09-30T00:00:00,2009-10-01T00:00:00,2010-09-17T00:00:00,2010-09-20T00:00:00,2011-05-27T00:00:00,4,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE | Mexican Peso Spot,102,0.01,8,504,252,126
14,2008-04-21T00:00:00,2010-03-25T00:00:00,2010-03-26T00:00:00,2011-05-27T00:00:00,2011-05-30T00:00:00,2011-11-21T00:00:00,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,102,0.01,8,504,252,126
15,2008-10-14T00:00:00,2010-09-17T00:00:00,2010-09-20T00:00:00,2011-11-21T00:00:00,2011-11-22T00:00:00,2012-05-15T00:00:00,4,S&P/BMV IPC | Cboe Volatility Index | Australian Dollar Spot | EUR-SEK X-RATE,102,0.01,8,504,252,126
16,2009-04-08T00:00:00,2011-05-27T00:00:00,2011-05-30T00:00:00,2012-05-15T00:00:00,2012-05-16T00:00:00,2012-11-07T00:00:00,3,Cboe Volatility Index | BRAZIL IBOVESPA INDEX | DAX INDEX,102,0.01,8,504,252,126
17,2009-10-01T00:00:00,2011-11-21T00:00:00,2011-11-22T00:00:00,2012-11-07T00:00:00,2012-11-08T00:00:00,2013-05-02T00:00:00,3,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX,102,0.01,8,504,252,126
18,2010-03-26T00:00:00,2012-05-15T00:00:00,2012-05-16T00:00:00,2013-05-02T00:00:00,2013-05-03T00:00:00,2013-10-25T00:00:00,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,102,0.01,8,504,252,126
19,2010-09-20T00:00:00,2012-11-07T00:00:00,2012-11-08T00:00:00,2013-10-25T00:00:00,2013-10-28T00:00:00,2014-04-21T00:00:00,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,102,0.01,8,504,252,126
20,2011-05-30T00:00:00,2013-05-02T00:00:00,2013-05-03T00:00:00,2014-04-21T00:00:00,2014-04-22T00:00:00,2014-10-14T00:00:00,4,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC | Brazilian Real Spot,102,0.01,8,504,252,126
21,2011-11-22T00:00:00,2013-10-25T00:00:00,2013-10-28T00:00:00,2014-10-14T00:00:00,2014-10-15T00:00:00,2015-04-08T00:00:00,3,Cboe Volatility Index | DAX INDEX | BRAZIL IBOVESPA INDEX,102,0.01,8,504,252,126
22,2012-05-16T00:00:00,2014-04-21T00:00:00,2014-04-22T00:00:00,2015-04-08T00:00:00,2015-04-09T00:00:00,2015-10-01T00:00:00,2,Cboe Volatility Index | DAX INDEX,102,0.01,8,504,252,126
23,2012-11-08T00:00:00,2014-10-14T00:00:00,2014-10-15T00:00:00,2015-10-01T00:00:00,2015-10-02T00:00:00,2016-03-25T00:00:00,2,Cboe Volatility Index | DAX INDEX,102,0.01,8,504,252,126
24,2013-05-03T00:00:00,2015-04-08T00:00:00,2015-04-09T00:00:00,2016-03-25T00:00:00,2016-03-28T00:00:00,2016-09-19T00:00:00,2,Cboe Volatility Index | DAX INDEX,102,0.01,8,504,252,126
25,2013-10-28T00:00:00,2015-10-01T00:00:00,2015-10-02T00:00:00,2016-09-19T00:00:00,2016-09-20T00:00:00,2017-03-14T00:00:00,2,Cboe Volatility Index | S&P/BMV IPC,102,0.01,8,504,252,126
26,2014-04-22T00:00:00,2016-03-25T00:00:00,2016-03-28T00:00:00,2017-03-14T00:00:00,2017-03-15T00:00:00,2017-09-06T00:00:00,3,Cboe Volatility Index | CAD-JPY X-RATE | S&P/BMV IPC,102,0.01,8,504,252,126
27,2014-10-15T00:00:00,2016-09-19T00:00:00,2016-09-20T00:00:00,2017-09-06T00:00:00,2017-09-07T00:00:00,2018-03-01T00:00:00,3,Cboe Volatility Index | CAD-JPY X-RATE | S&P/BMV IPC,102,0.01,8,504,252,126
28,2015-04-09T00:00:00,2017-03-14T00:00:00,2017-03-15T00:00:00,2018-03-01T00:00:00,2018-03-02T00:00:00,2018-08-24T00:00:00,3,Cboe Volatility Index | CAD-JPY X-RATE | U.S. Corporate High Yield,102,0.01,8,504,252,126
29,2015-10-02T00:00:00,2017-09-06T00:00:00,2017-09-07T00:00:00,2018-08-24T00:00:00,2018-08-27T00:00:00,2019-02-18T00:00:00,3,Cboe Volatility Index | CAD-JPY X-RATE | U.S. Corporate High Yield,102,0.01,8,504,252,126
30,2016-03-28T00:00:00,2018-03-01T00:00:00,2018-03-02T00:00:00,2019-02-18T00:00:00,2019-02-19T00:00:00,2019-08-13T00:00:00,2,Cboe Volatility Index | CAC 40 INDEX,102,0.01,8,504,252,126
31,2016-09-20T00:00:00,2018-08-24T00:00:00,2018-08-27T00:00:00,2019-08-13T00:00:00,2019-08-14T00:00:00,2020-02-05T00:00:00,2,Cboe Volatility Index | AUD-JPY X-RATE,102,0.01,8,504,252,126
32,2017-03-15T00:00:00,2019-02-18T00:00:00,2019-02-19T00:00:00,2020-02-05T00:00:00,2020-02-06T00:00:00,2020-07-30T00:00:00,2,Cboe Volatility Index | AUD-JPY X-RATE,102,0.01,8,504,252,126
33,2017-09-07T00:00:00,2019-08-13T00:00:00,2019-08-14T00:00:00,2020-07-30T00:00:00,2020-07-31T00:00:00,2021-01-22T00:00:00,2,Cboe Volatility Index | AUD-JPY X-RATE,102,0.01,8,504,252,126
34,2018-03-02T00:00:00,2020-02-05T00:00:00,2020-02-06T00:00:00,2021-01-22T00:00:00,2021-01-25T00:00:00,2021-07-19T00:00:00,3,Cboe Volatility Index | AUD-JPY X-RATE | US Generic Govt 5 Yr,102,0.01,8,504,252,126
35,2018-08-27T00:00:00,2020-07-30T00:00:00,2020-07-31T00:00:00,2021-07-19T00:00:00,2021-07-20T00:00:00,2022-01-14T00:00:00,4,BRAZIL IBOVESPA INDEX | Cboe Volatility Index | FTSE 100 INDEX | US Generic Govt 10 Yr,102,0.01,8,504,252,126
36,2019-02-19T00:00:00,2021-01-22T00:00:00,2021-01-25T00:00:00,2022-01-14T00:00:00,2022-01-17T00:00:00,2022-07-11T00:00:00,4,BRAZIL IBOVESPA INDEX | Cboe Volatility Index | FTSE 100 INDEX | US Generic Govt 10 Yr,102,0.01,8,504,252,126
37,2019-08-14T00:00:00,2021-07-19T00:00:00,2021-07-20T00:00:00,2022-07-11T00:00:00,2022-07-12T00:00:00,2023-01-05T00:00:00,4,BRAZIL IBOVESPA INDEX | Cboe Volatility Index | FTSE 100 INDEX | US Generic Govt 10 Yr,102,0.01,8,504,252,126
38,2020-02-06T00:00:00,2022-01-14T00:00:00,2022-01-17T00:00:00,2023-01-05T00:00:00,2023-01-06T00:00:00,2023-06-30T00:00:00,4,BRAZIL IBOVESPA INDEX | FTSE 100 INDEX | Cboe Volatility Index | US Generic Govt 10 Yr,102,0.01,8,504,252,126
