design,method,median_frobenius,median_calibration,median_realized_variance
ar1_gaussian,ledoit_wolf,0.5244157267718546,1.164799642319479,2.1925609947037816e-06
ar1_gaussian,oas,0.5243333101846497,1.1611359728480608,2.190431779109127e-06
ar1_gaussian,pca4,0.5255861327397003,1.0999858479223465,2.0290568178494535e-06
ar1_gaussian,residual_qr_50,0.5243077495270282,1.0783096393278766,2.0559141200961057e-06
ar1_gaussian,sample,0.5244572335384529,1.281642958945089,2.230136237342977e-06
ar1_gaussian,structured_q0,0.5243504541592708,1.03213244672549,2.0325149932727244e-06
dcc_student,ledoit_wolf,0.48298108759832503,1.1021564392552752,2.2239672670077382e-06
dcc_student,oas,0.4813404949315163,1.1672457854296254,2.2433929586309714e-06
dcc_student,pca4,0.4821578270291995,1.0964657773208826,2.025263904794441e-06
dcc_student,residual_qr_50,0.4816319602381681,1.0573226576973183,2.0688337589242665e-06
dcc_student,sample,0.48181652411201337,1.2799582853518379,2.2740216997065667e-06
dcc_student,structured_q0,0.48159610670105457,1.0258260641352166,2.018997109894367e-06
state_loadings,ledoit_wolf,0.5737191672568658,1.1518611881564353,2.303555623595221e-06
state_loadings,oas,0.572830047072864,1.1911263388388686,2.314566760142203e-06
state_loadings,pca4,0.5670611822517724,1.0810258358145917,2.0890054639588585e-06
state_loadings,residual_qr_50,0.5792165807714151,0.8920003494867947,2.1678387096990287e-06
state_loadings,sample,0.5700676112470104,1.3339418845871283,2.356028011724481e-06
state_loadings,structured_q0,0.5772472473942036,0.749061288775912,2.1722780608483594e-06
var2_student,ledoit_wolf,0.3979345428159057,1.2410417376260172,2.2155234842277785e-06
var2_student,oas,0.39758221110515923,1.2579963227569206,2.2178830293786e-06
var2_student,pca4,0.4006362317539377,1.093787504666588,1.9764816604078858e-06
var2_student,residual_qr_50,0.40098861863100405,1.072119204828768,2.060376013265677e-06
var2_student,sample,0.4016636736408929,1.3702120315562436,2.2547007654994385e-06
var2_student,structured_q0,0.40063787083111013,1.0206367894482833,1.981953038163621e-06
