panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,252,realized_variance,residual_aware_qr,equal_weight,23,-6.85410658473667e-05,1.4322109502192058e-05,-9.741206542844824e-05,-4.3544971956309025e-05,-0.0001036435925819496,-3.34385391127838e-05,4.999750012499375e-05,4.999750012499375e-05,1.0
B,252,realized_variance,residual_aware_qr,ledoit_wolf,23,-2.7981066399103944e-06,6.099896149759586e-06,-1.1327907830110965e-05,1.130199270210838e-05,-1.8360448565759536e-05,1.2764235285938746e-05,0.8548072596370182,1.0,0.8260869565217391
B,252,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,23,2.3390591556474697e-07,3.9196942578630035e-06,-5.96011461523626e-06,8.82253316454004e-06,-9.730778785146999e-06,1.0198590616276492e-05,0.9784010799460027,1.0,0.7391304347826086
B,252,realized_variance,residual_aware_qr,oas_shrinkage,23,-8.86207340357676e-06,7.110068561082253e-06,-2.010032410093116e-05,7.264631901507339e-06,-2.6947943531476048e-05,9.223796724322529e-06,0.24533773311334434,0.7707114644267786,0.9130434782608695
B,252,realized_variance,residual_aware_qr,pca_matched,23,-2.9075639888251854e-05,9.377556228765543e-06,-5.0483917461296745e-05,-1.438148178017033e-05,-5.251632365413737e-05,-5.634956122366343e-06,9.99950002499875e-05,0.008949552522373882,0.9130434782608695
B,252,realized_variance,residual_aware_qr,pca_plus_two,23,-1.970870491143176e-05,4.894052747273721e-06,-2.9648756069192203e-05,-1.121318769815144e-05,-3.160424524755443e-05,-7.813164575309086e-06,4.999750012499375e-05,0.00039998000099995,0.9565217391304348
B,252,realized_variance,residual_aware_qr,poet_soft_c0_5,23,2.0452588089833665e-06,5.228368762810394e-06,-6.113203980522904e-06,1.3865773974480746e-05,-1.1279959482620252e-05,1.5370477100586987e-05,0.8839558022098895,1.0,0.5652173913043478
B,252,realized_variance,residual_aware_qr,ridge_10pct,23,-2.14934394736279e-07,4.92953356768918e-06,-7.449694411976955e-06,1.0936277443108164e-05,-1.2771711520376177e-05,1.2341842730903618e-05,0.9926503674816259,1.0,0.7391304347826086
B,252,realized_variance,residual_aware_qr,sample_covariance,23,-4.466688686323889e-05,1.0482726420658215e-05,-6.502334989535079e-05,-2.352385821376898e-05,-7.081888638296536e-05,-1.851488734351242e-05,0.00024998750062496874,0.00024998750062496874,0.9565217391304348
B,252,realized_variance,residual_aware_qr,structured_q0,23,-1.8334369951318458e-05,5.474469523110083e-06,-3.061426976587056e-05,-1.0099859415585683e-05,-3.2069934240378656e-05,-4.598805662258262e-06,4.999750012499375e-05,0.00439978001099945,0.9130434782608695
