panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,252,realized_variance,residual_aware_qr,equal_weight,23,-5.921020496891361e-05,1.1316092603922824e-05,-8.192028438629784e-05,-3.9462463797732014e-05,-8.57782231380603e-05,-3.264218679976692e-05,4.999750012499375e-05,4.999750012499375e-05,1.0
B,252,realized_variance,residual_aware_qr,ledoit_wolf,23,3.2944638898144477e-06,6.557158620770447e-06,-5.453647076595703e-06,1.7983401950769083e-05,-1.2868965065405612e-05,1.9457892845034505e-05,0.9581520923953802,0.99990000499975,0.5652173913043478
B,252,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,23,1.399880122148705e-06,4.763942420810094e-06,-5.596994164111435e-06,1.2376792859246374e-05,-1.0328294621164193e-05,1.3128054865461604e-05,0.9504024798760062,1.0,0.5652173913043478
B,252,realized_variance,residual_aware_qr,oas_shrinkage,23,3.244499879278759e-06,6.851574552929783e-06,-5.982991294135721e-06,1.8669407924267722e-05,-1.3643533311060123e-05,2.0132533069617642e-05,0.9616019199040048,1.0,0.5652173913043478
B,252,realized_variance,residual_aware_qr,pca_matched,23,-8.329324403731685e-06,2.2531059366618538e-06,-1.3153117492214441e-05,-4.399453175801559e-06,-1.3765276693638194e-05,-2.893372113825176e-06,0.000199990000499975,0.0007499625018749063,0.8260869565217391
B,252,realized_variance,residual_aware_qr,pca_plus_two,23,-2.3609764830869537e-06,3.613981946483331e-06,-7.984473557134355e-06,5.881700218316796e-06,-1.1244909893552375e-05,6.522956927378469e-06,0.6173691315434229,0.9969001549922504,0.7391304347826086
B,252,realized_variance,residual_aware_qr,poet_soft_c0_5,23,1.312052787635056e-06,4.2329565238004376e-06,-4.724754050327668e-06,1.094118010182464e-05,-9.113631626124944e-06,1.1737737201395055e-05,0.9662016899155043,1.0,0.5652173913043478
B,252,realized_variance,residual_aware_qr,ridge_10pct,23,2.7894304087250624e-06,5.833829940788528e-06,-5.172160332393618e-06,1.6023398949846803e-05,-1.1590748433785681e-05,1.7169609251235807e-05,0.9481525923703815,1.0,0.4782608695652174
B,252,realized_variance,residual_aware_qr,sample_covariance,23,4.011456205119648e-06,7.876163952003002e-06,-6.315516618403478e-06,2.161550912237e-05,-1.5411539596986097e-05,2.343445200722539e-05,0.9781010949452528,0.999850007499625,0.6521739130434783
B,252,realized_variance,residual_aware_qr,structured_q0,23,-8.944224257022831e-06,5.105371282528067e-06,-2.0387517241066052e-05,-1.9231222125817396e-06,-2.1457154417875427e-05,3.5687059038297646e-06,0.005699715014249288,0.23103844807759613,0.6956521739130435
B,252,qlike,residual_aware_qr,equal_weight,23,0.5646513939491988,0.9191278160553684,-0.6302816495328525,2.545687206456089,-1.4571793103884036,2.586482098286801,0.9126043697815109,0.999950002499875,0.7391304347826086
B,252,qlike,residual_aware_qr,ledoit_wolf,23,0.7473607209502803,0.5741564302236549,0.058564698568735286,1.964575009642003,-0.5169218401505006,2.011643282051061,0.024848757562121893,0.43152842357882104,0.43478260869565216
B,252,qlike,residual_aware_qr,nonlinear_shrinkage_qis,23,0.696746077658307,0.5154675878954091,0.05748747097285392,1.8041131804237083,-0.4374954185549351,1.830987573871549,0.029598520073996302,0.3671816409179541,0.391304347826087
B,252,qlike,residual_aware_qr,oas_shrinkage,23,0.7646498850163653,0.582773885622795,0.062017292375235095,2.0039831369516214,-0.5185044972882572,2.0478042673209877,0.024848757562121893,0.4175791210439478,0.43478260869565216
B,252,qlike,residual_aware_qr,pca_matched,23,-0.25016413118305497,0.12745477234566238,-0.49437495598787035,-0.004756655934296523,-0.5323730064569698,0.03204474409085989,0.061746912654367284,0.061746912654367284,0.6956521739130435
B,252,qlike,residual_aware_qr,pca_plus_two,23,0.45499908256559357,0.4510006271243661,-0.13017975333407472,1.428786580520805,-0.53936139582783,1.4493595609590173,0.44967751612419377,0.8373081345932704,0.5217391304347826
B,252,qlike,residual_aware_qr,poet_soft_c0_5,23,0.5744063038337534,0.4109656078019466,0.05065618968040574,1.45911326176644,-0.3301024704839446,1.4789150781514513,0.03129843507824609,0.31418429078546073,0.391304347826087
