training_days,method,folds,pooled_annualized_volatility,median_fold_annualized_volatility,median_realized_to_predicted_ratio,mean_qlike,median_gross_exposure,median_max_abs_weight,mean_recurring_turnover,eigen_floor_activation_fraction,median_chosen_alpha
252,equal_weight,23,0.18739459751595824,0.14535412549130236,0.945246390449282,-7.796036554430256,1.0000000000000002,0.006666666666666667,0.13052823741508918,0.0,
252,ledoit_wolf,23,0.13682740522716755,0.11674485996035239,3.200151856413742,-6.571053730436722,3.9910196598123995,0.1100848834470409,3.630658429435636,0.0,
252,nonlinear_shrinkage_qis,23,0.13391177870535198,0.1053612338235492,1.956683045795995,-7.327084027752366,3.020461328991977,0.08105387425143873,2.674642626732501,0.0,
252,oas_shrinkage,23,0.14230031493868864,0.12082181098472218,3.7679065809774603,-5.923763900889216,4.266534896486988,0.12434814609286966,4.337772811531591,0.0,
252,pca_matched,23,0.15901117112745966,0.12076132195656168,5.574236339024018,-1.9562403384620848,2.5764916118795265,0.08513524216208673,1.9040661473684373,0.0,
252,pca_plus_two,23,0.1514272725283177,0.12008224692674274,5.267747844831054,-5.049361652278282,2.7383246314754075,0.09084161270437116,2.121608466563558,0.0,
252,poet_soft_c0_5,23,0.13211333414552176,0.10786702244755332,2.7086436019775397,-6.908703814364707,2.8069215612418366,0.09777936136606542,2.300253038424023,0.0,
252,residual_aware_qr,23,0.1339894858913378,0.10790843732768744,2.316219262723062,-6.606243372405309,2.5814411499748955,0.09472501945138301,2.1848190796088782,0.0,0.5
252,ridge_10pct,23,0.13434348782598535,0.1080612225174017,2.178358441415902,-6.981428208330038,3.4495247989371656,0.09657716451581967,3.092003234795078,0.0,
252,sample_covariance,23,0.17122099234405425,0.14676502587874854,8.799116258539815,-0.42144910891909604,6.9902164141376595,0.22467059995087338,7.956794008630191,0.0,
252,structured_q0,23,0.15009219956375575,0.12100299057646204,6.398774601564484,-1.6586844689399214,2.0923101006876417,0.07676534900387633,1.1601140290685186,0.0,
504,equal_weight,21,0.1846407800902932,0.14161498704316197,0.9064874809117915,-7.7015594339581,1.0000000000000002,0.006666666666666667,0.13213661711898536,0.0,
504,ledoit_wolf,21,0.13794674750732103,0.111194967325634,1.9900838792826094,-7.337139252189656,3.8659406769133,0.12818795147362952,2.4733453792629643,0.0,
504,nonlinear_shrinkage_qis,21,0.13690324764373837,0.10817339537984254,1.747711195901384,-7.600680765860746,3.1613410031510165,0.09855015221132796,2.0234266718916927,0.0,
504,oas_shrinkage,21,0.14114124971483666,0.1148610692362357,2.20479409863421,-7.141053005000481,4.0403061854228595,0.131483018716356,2.832336347974595,0.0,
504,pca_matched,21,0.15995932409447464,0.13613501588304333,4.951563151346555,-1.752048395913803,2.657026005760508,0.08306930162195189,1.3826239007353553,0.0,
504,pca_plus_two,21,0.15297190148666295,0.12330796592562446,3.150871971136174,-5.967539013424212,2.897364805087582,0.10715272854487827,1.5538907582990007,0.0,
504,poet_soft_c0_5,21,0.13516238163228128,0.11551921741051224,2.6153653869552613,-7.216206734450207,2.8205612844670167,0.11107143517060158,1.607087643694684,0.0,
504,residual_aware_qr,21,0.13667924848402793,0.10576298238733796,2.226762026585415,-7.181791815121776,2.708335761992096,0.10045322122952619,1.7005467648185681,0.0,0.5
504,ridge_10pct,21,0.13549130802484244,0.10872244842053189,1.559005688533979,-7.610333088066507,3.141742790162877,0.09794974432476931,1.9240598515909588,0.0,
504,sample_covariance,21,0.1447930417147984,0.11810496878471011,2.6497173970313352,-6.75571966600649,4.643220802361856,0.15057199041227293,3.3672873560860332,0.0,
504,structured_q0,21,0.1584018162749943,0.13106285256455416,5.857131279853022,-1.5865001911648733,2.260845841622557,0.07680247686182314,0.795529257705365,0.0,
