training_days,fold_id,panel_a_fold_id,alpha,validation_variance,eigen_floor_activated
252,1,14,0.0,0.00011511593859741095,False
252,1,14,0.1,0.00011949413141258138,False
252,1,14,0.25,0.0001253970822121758,False
252,1,14,0.5,0.00013357322500256462,False
252,1,14,0.75,0.00014161301352301752,False
252,1,14,0.9,0.0001505903032406287,False
252,2,15,0.0,3.279019225448531e-05,False
252,2,15,0.1,2.803131858073087e-05,False
252,2,15,0.25,2.412679980378586e-05,False
252,2,15,0.5,2.2562396821142072e-05,False
252,2,15,0.75,2.7623119946472933e-05,False
252,2,15,0.9,4.2188592650224716e-05,False
252,3,16,0.0,3.0663153776224794e-05,False
252,3,16,0.1,2.7548061983339147e-05,False
252,3,16,0.25,2.486409477127519e-05,False
252,3,16,0.5,2.3028571723967492e-05,False
252,3,16,0.75,2.4931908956252092e-05,False
252,3,16,0.9,3.325865858242866e-05,False
252,4,17,0.0,1.9109790329433503e-05,False
252,4,17,0.1,1.7105520182555626e-05,False
252,4,17,0.25,1.626329626936388e-05,False
252,4,17,0.5,1.684566161043567e-05,False
252,4,17,0.75,1.9758723303098174e-05,False
252,4,17,0.9,2.6463634461887596e-05,False
252,5,18,0.0,3.262510924811811e-05,False
252,5,18,0.1,2.8902993490251335e-05,False
252,5,18,0.25,2.70115138492599e-05,False
252,5,18,0.5,2.6671419954231156e-05,False
252,5,18,0.75,2.9105072288233318e-05,False
252,5,18,0.9,3.496373998236498e-05,False
252,6,20,0.0,2.168399697387087e-05,False
252,6,20,0.1,2.146871765864626e-05,False
252,6,20,0.25,2.2121896560272804e-05,False
252,6,20,0.5,2.455279040634232e-05,False
252,6,20,0.75,3.060298601149737e-05,False
252,6,20,0.9,4.2484779175745126e-05,False
252,7,21,0.0,3.489919938881831e-05,False
252,7,21,0.1,3.12890540998936e-05,False
252,7,21,0.25,2.9424162276785198e-05,False
252,7,21,0.5,2.8530167880182344e-05,False
252,7,21,0.75,2.9059521413906833e-05,False
252,7,21,0.9,3.22692312665651e-05,False
252,8,22,0.0,6.909921668806633e-05,False
252,8,22,0.1,5.547987322401063e-05,False
252,8,22,0.25,4.625617184276442e-05,False
252,8,22,0.5,3.993595845786136e-05,False
252,8,22,0.75,4.0159387904791865e-05,False
252,8,22,0.9,5.136368670146828e-05,False
252,9,23,0.0,9.189335065964258e-05,False
252,9,23,0.1,8.95437701154498e-05,False
252,9,23,0.25,9.289814518855466e-05,False
252,9,23,0.5,9.92295072346302e-05,False
252,9,23,0.75,0.0001075583596335448,False
252,9,23,0.9,0.00012176038464861218,False
252,10,24,0.0,9.001640224464128e-05,False
252,10,24,0.1,6.23790053614018e-05,False
252,10,24,0.25,4.994479054120527e-05,False
252,10,24,0.5,4.6273503683044575e-05,False
252,10,24,0.75,5.1751027819884254e-05,False
252,10,24,0.9,6.409915113452297e-05,False
252,11,25,0.0,7.310059370114691e-05,False
252,11,25,0.1,5.0906603785737855e-05,False
252,11,25,0.25,4.1164809096026676e-05,False
252,11,25,0.5,3.5750643245577315e-05,False
252,11,25,0.75,3.513715220793391e-05,False
252,11,25,0.9,4.094434068758381e-05,False
252,12,26,0.0,1.3276950102136353e-05,False
252,12,26,0.1,1.2404865509386285e-05,False
252,12,26,0.25,1.2253502832570962e-05,False
252,12,26,0.5,1.2681868725156013e-05,False
252,12,26,0.75,1.4193629165855135e-05,False
252,12,26,0.9,1.7924829343703318e-05,False
252,13,27,0.0,1.3255798412525117e-05,False
252,13,27,0.1,1.1132090524855464e-05,False
252,13,27,0.25,1.0218319074579772e-05,False
252,13,27,0.5,1.081284364334354e-05,False
252,13,27,0.75,1.41303761339508e-05,False
252,13,27,0.9,2.1429837657627927e-05,False
252,14,28,0.0,5.5209907930608584e-05,False
252,14,28,0.1,4.711008097849732e-05,False
252,14,28,0.25,4.218696980258371e-05,False
252,14,28,0.5,3.843295451487681e-05,False
252,14,28,0.75,3.678513741884035e-05,False
252,14,28,0.9,3.907868140648069e-05,False
252,15,29,0.0,8.390030117847492e-05,False
252,15,29,0.1,5.8200737078727336e-05,False
252,15,29,0.25,4.6565498279113024e-05,False
252,15,29,0.5,4.1677474810576376e-05,False
252,15,29,0.75,4.2258934436959106e-05,False
252,15,29,0.9,5.0655583124602135e-05,False
252,16,30,0.0,2.973805587735205e-05,False
252,16,30,0.1,2.5907767653589835e-05,False
252,16,30,0.25,2.526584618177404e-05,False
252,16,30,0.5,2.7703918174744368e-05,False
252,16,30,0.75,3.4022851476838473e-05,False
252,16,30,0.9,4.4437724816666635e-05,False
252,17,31,0.0,7.290416314071305e-05,False
252,17,31,0.1,4.5548683244061885e-05,False
252,17,31,0.25,3.594639211849729e-05,False
252,17,31,0.5,3.4353159486980786e-05,False
252,17,31,0.75,3.94603838620717e-05,False
252,17,31,0.9,5.115536019046313e-05,False
252,18,32,0.0,0.001121683040313822,False
252,18,32,0.1,0.0010457048118840482,False
252,18,32,0.25,0.00099418481919302,False
252,18,32,0.5,0.0009551777775398292,False
252,18,32,0.75,0.0009497643776723823,False
252,18,32,0.9,0.0009554956496086534,False
252,19,33,0.0,0.00010699367843392857,False
252,19,33,0.1,0.00010288059758416697,False
252,19,33,0.25,0.00010171375006066,False
252,19,33,0.5,0.00010109648910167334,False
252,19,33,0.75,0.0001020109932328978,False
252,19,33,0.9,0.0001117405373430826,False
252,20,34,0.0,6.725897975966688e-05,False
252,20,34,0.1,5.397068361522652e-05,False
252,20,34,0.25,4.426185988937602e-05,False
252,20,34,0.5,3.8192385332775504e-05,False
252,20,34,0.75,3.905161735798467e-05,False
252,20,34,0.9,4.643115938237976e-05,False
252,21,35,0.0,4.92745970768304e-05,False
252,21,35,0.1,4.509680596131214e-05,False
252,21,35,0.25,4.38398876663878e-05,False
252,21,35,0.5,4.6009768220476036e-05,False
252,21,35,0.75,5.347910102386706e-05,False
252,21,35,0.9,6.847133333719887e-05,False
252,22,36,0.0,0.00012088217019451362,False
252,22,36,0.1,0.00011058770556837005,False
252,22,36,0.25,0.00011256755710768473,False
252,22,36,0.5,0.00012022086518727451,False
252,22,36,0.75,0.0001283229188754658,False
252,22,36,0.9,0.0001380331041827792,False
252,23,37,0.0,0.00012361453572234385,False
252,23,37,0.1,0.00011513980881854359,False
252,23,37,0.25,0.0001130700600655869,False
252,23,37,0.5,0.0001205761496666756,False
252,23,37,0.75,0.00013886870835652228,False
252,23,37,0.9,0.00016347040553721346,False
504,1,16,0.0,3.60383029235633e-05,False
504,1,16,0.1,3.2107814741954996e-05,False
