training_days,fold_id,panel_a_fold_id,alpha,validation_variance,eigen_floor_activated
252,1,14,0.0,0.00011273906840588964,False
252,1,14,0.1,0.0001178410095713485,False
252,1,14,0.25,0.00012500783167318462,False
252,1,14,0.5,0.00013551517676227553,False
252,1,14,0.75,0.00014602511251685514,False
252,1,14,0.9,0.00015698082175725928,False
252,2,15,0.0,3.4979804144567244e-05,False
252,2,15,0.1,3.0724190706996994e-05,False
252,2,15,0.25,2.7467006337548314e-05,False
252,2,15,0.5,2.654356414773913e-05,False
252,2,15,0.75,3.1751516715183534e-05,False
252,2,15,0.9,4.642798233367551e-05,False
252,3,16,0.0,3.0137787219351365e-05,False
252,3,16,0.1,2.7788668064982382e-05,False
252,3,16,0.25,2.5736131211229245e-05,False
252,3,16,0.5,2.4392211856468234e-05,False
252,3,16,0.75,2.6201995662962077e-05,False
252,3,16,0.9,3.301296370490704e-05,False
252,4,17,0.0,2.101057019098101e-05,False
252,4,17,0.1,1.9643690562968958e-05,False
252,4,17,0.25,1.9286012485178088e-05,False
252,4,17,0.5,2.0296291832601813e-05,False
252,4,17,0.75,2.3408227077953304e-05,False
252,4,17,0.9,2.983321716498924e-05,False
252,5,18,0.0,3.289917192013392e-05,False
252,5,18,0.1,2.8566136786268446e-05,False
252,5,18,0.25,2.6265260409351086e-05,False
252,5,18,0.5,2.6078211820244318e-05,False
252,5,18,0.75,2.8993664222720207e-05,False
252,5,18,0.9,3.422019720531598e-05,False
252,6,19,0.0,2.6074149815761554e-05,False
252,6,19,0.1,2.412422205083037e-05,False
252,6,19,0.25,2.2868561972998615e-05,False
252,6,19,0.5,2.250708719792646e-05,False
252,6,19,0.75,2.5220890186056974e-05,False
252,6,19,0.9,3.374759863258953e-05,False
252,7,20,0.0,2.7029924029598546e-05,False
252,7,20,0.1,2.1579215982006976e-05,False
252,7,20,0.25,1.8434905111516342e-05,False
252,7,20,0.5,1.681834690232448e-05,False
252,7,20,0.75,1.787653106945421e-05,False
252,7,20,0.9,2.27906489831005e-05,False
252,8,21,0.0,7.111194805084932e-05,False
252,8,21,0.1,6.143831825877498e-05,False
252,8,21,0.25,5.59188055421059e-05,False
252,8,21,0.5,5.284633957228306e-05,False
252,8,21,0.75,5.251989565435448e-05,False
252,8,21,0.9,5.629725897475239e-05,False
252,9,22,0.0,8.133183790463119e-05,False
252,9,22,0.1,8.02424633637401e-05,False
252,9,22,0.25,8.549223158768325e-05,False
252,9,22,0.5,9.462238150528807e-05,False
252,9,22,0.75,0.00010595043111568215,False
252,9,22,0.9,0.0001216270338849384,False
252,10,24,0.0,8.098515485108348e-05,False
252,10,24,0.1,6.317307135986223e-05,False
252,10,24,0.25,5.579851222548349e-05,False
252,10,24,0.5,5.328095977013101e-05,False
252,10,24,0.75,5.725560443938268e-05,False
252,10,24,0.9,7.397573156639977e-05,False
252,11,25,0.0,6.676395144634987e-05,False
252,11,25,0.1,4.820151985822365e-05,False
252,11,25,0.25,3.8810520187928474e-05,False
252,11,25,0.5,3.3753693233240106e-05,False
252,11,25,0.75,3.401532600121729e-05,False
252,11,25,0.9,3.935041496390529e-05,False
252,12,26,0.0,2.0129354428946546e-05,False
252,12,26,0.1,1.6475860485588766e-05,False
252,12,26,0.25,1.4548730956622116e-05,False
252,12,26,0.5,1.4266066798668654e-05,False
252,12,26,0.75,1.715581214318796e-05,False
252,12,26,0.9,2.5079082714639684e-05,False
252,13,27,0.0,1.426709696234375e-05,False
252,13,27,0.1,1.3279594567211284e-05,False
252,13,27,0.25,1.3099299794029902e-05,False
252,13,27,0.5,1.3993754572376602e-05,False
252,13,27,0.75,1.6544981007662067e-05,False
252,13,27,0.9,2.1445149582378777e-05,False
252,14,28,0.0,8.395604284696788e-05,False
252,14,28,0.1,8.324688234891962e-05,False
252,14,28,0.25,8.304492498909853e-05,False
252,14,28,0.5,8.192308542517775e-05,False
252,14,28,0.75,7.840479300980319e-05,False
252,14,28,0.9,7.38054992007083e-05,False
252,15,29,0.0,4.1612302087281534e-05,False
252,15,29,0.1,2.6823157142454167e-05,False
252,15,29,0.25,1.922383384992555e-05,False
252,15,29,0.5,1.6700804509530937e-05,False
252,15,29,0.75,1.926362280027626e-05,False
252,15,29,0.9,2.5585653784447664e-05,False
252,16,30,0.0,2.2515633189654795e-05,False
252,16,30,0.1,1.877161823047842e-05,False
252,16,30,0.25,1.78004271849205e-05,False
252,16,30,0.5,2.0266089265714173e-05,False
252,16,30,0.75,2.9363055429661898e-05,False
252,16,30,0.9,4.7806369885637035e-05,False
252,17,31,0.0,5.3095848411131766e-05,False
252,17,31,0.1,4.696483444689111e-05,False
252,17,31,0.25,4.578885954452992e-05,False
252,17,31,0.5,4.745299238045884e-05,False
252,17,31,0.75,5.16554330870645e-05,False
252,17,31,0.9,6.0379830131943626e-05,False
252,18,32,0.0,0.0012722080922165184,False
252,18,32,0.1,0.0012474923273114414,False
252,18,32,0.25,0.0012271704138469121,False
252,18,32,0.5,0.001213102706694931,False
252,18,32,0.75,0.0012137039713752895,False
252,18,32,0.9,0.001220527941868687,False
252,19,33,0.0,6.83309680646998e-05,False
252,19,33,0.1,6.272836103463804e-05,False
252,19,33,0.25,6.30423498400769e-05,False
252,19,33,0.5,6.746898566829042e-05,False
252,19,33,0.75,7.787773721259071e-05,False
252,19,33,0.9,9.907394580394117e-05,False
252,20,34,0.0,9.320352805761957e-05,False
252,20,34,0.1,7.458371944457076e-05,False
252,20,34,0.25,6.100248757831475e-05,False
252,20,34,0.5,5.183139441003543e-05,False
252,20,34,0.75,5.1179117662583845e-05,False
252,20,34,0.9,5.9257642387935243e-05,False
252,21,35,0.0,4.654074691235653e-05,False
252,21,35,0.1,3.764544902494533e-05,False
252,21,35,0.25,3.2233576256317154e-05,False
252,21,35,0.5,2.9912793603484422e-05,False
252,21,35,0.75,3.229043517103138e-05,False
252,21,35,0.9,3.9651935328611393e-05,False
252,22,36,0.0,0.00011069228158717752,False
252,22,36,0.1,9.004844893371957e-05,False
252,22,36,0.25,8.31782369957526e-05,False
252,22,36,0.5,8.555556442309172e-05,False
252,22,36,0.75,9.609597737626378e-05,False
252,22,36,0.9,0.00011433710248014308,False
252,23,37,0.0,0.00012907932523602522,False
252,23,37,0.1,0.00012125070974925148,False
252,23,37,0.25,0.0001181247822944877,False
252,23,37,0.5,0.00011924250081654875,False
252,23,37,0.75,0.00012610728540903392,False
252,23,37,0.9,0.0001403253786315011,False
504,1,16,0.0,3.4073018724336864e-05,False
504,1,16,0.1,3.050700761702705e-05,False
504,1,16,0.25,2.7818200351965247e-05,False
504,1,16,0.5,2.6557288016992787e-05,False
504,1,16,0.75,2.8584971612239784e-05,False
504,1,16,0.9,3.307018497003388e-05,False
504,2,17,0.0,2.8851955784611696e-05,False
504,2,17,0.1,2.599733067076368e-05,False
504,2,17,0.25,2.4164928313187247e-05,False
504,2,17,0.5,2.4153823869593675e-05,False
504,2,17,0.75,2.7400405667885455e-05,False
504,2,17,0.9,3.2813802535140975e-05,False
504,3,18,0.0,5.440047474403904e-05,False
504,3,18,0.1,4.837173511799075e-05,False
504,3,18,0.25,4.3231707794968265e-05,False
504,3,18,0.5,3.888247312654366e-05,False
504,3,18,0.75,3.757251965404298e-05,False
504,3,18,0.9,3.9187080135235723e-05,False
504,4,19,0.0,3.6003659348527e-05,False
504,4,19,0.1,3.101364792028488e-05,False
504,4,19,0.25,2.7452144475287288e-05,False
504,4,19,0.5,2.5250346498359136e-05,False
504,4,19,0.75,2.5699119422961634e-05,False
504,4,19,0.9,2.8393182392656826e-05,False
504,5,20,0.0,2.6719360345124385e-05,False
504,5,20,0.1,2.1114389092937873e-05,False
504,5,20,0.25,1.768256727173851e-05,False
504,5,20,0.5,1.6253180057457268e-05,False
504,5,20,0.75,1.7538131749126007e-05,False
504,5,20,0.9,2.078463767414037e-05,False
504,6,21,0.0,5.185043298252344e-05,False
504,6,21,0.1,4.325416055068679e-05,False
504,6,21,0.25,3.996887327220406e-05,False
504,6,21,0.5,3.9602791847610815e-05,False
504,6,21,0.75,4.121617409675053e-05,False
504,6,21,0.9,4.383988256977342e-05,False
504,7,22,0.0,6.707475216601714e-05,False
504,7,22,0.1,6.127265171532699e-05,False
504,7,22,0.25,6.009575361049101e-05,False
504,7,22,0.5,6.19728359119059e-05,False
504,7,22,0.75,6.542431413602579e-05,False
504,7,22,0.9,6.89923632459914e-05,False
504,8,24,0.0,8.328124874965272e-05,False
504,8,24,0.1,6.277514745795842e-05,False
504,8,24,0.25,5.248047468443333e-05,False
504,8,24,0.5,4.8906686981458694e-05,False
504,8,24,0.75,5.280638363361546e-05,False
504,8,24,0.9,6.212475327151675e-05,False
504,9,25,0.0,0.00010567083465528476,False
504,9,25,0.1,7.083054166175748e-05,False
504,9,25,0.25,5.22061216799849e-05,False
504,9,25,0.5,4.282487448764665e-05,False
504,9,25,0.75,4.2945494801296754e-05,False
504,9,25,0.9,4.864166788300371e-05,False
504,10,26,0.0,4.623001385159417e-05,False
504,10,26,0.1,3.189384131968597e-05,False
504,10,26,0.25,2.5928845975047806e-05,False
504,10,26,0.5,2.437411839078421e-05,False
504,10,26,0.75,2.7794221617011084e-05,False
504,10,26,0.9,3.4789073297327966e-05,False
504,11,27,0.0,2.0176653420089237e-05,False
504,11,27,0.1,1.7970106807224698e-05,False
504,11,27,0.25,1.7194629171259717e-05,False
504,11,27,0.5,1.7374725635352156e-05,False
504,11,27,0.75,1.86144977119072e-05,False
504,11,27,0.9,2.0977161521063027e-05,False
504,12,28,0.0,5.03282088337007e-05,False
504,12,28,0.1,5.1255548187964216e-05,False
504,12,28,0.25,5.3601266878787946e-05,False
504,12,28,0.5,5.649688145840269e-05,False
504,12,28,0.75,5.848945184230213e-05,False
504,12,28,0.9,6.09177805779333e-05,False
504,13,29,0.0,3.7656633610204044e-05,False
504,13,29,0.1,2.773871844766031e-05,False
504,13,29,0.25,2.1297225012916946e-05,False
504,13,29,0.5,1.738823702905723e-05,False
504,13,29,0.75,1.6940519469049973e-05,False
504,13,29,0.9,1.8909092134104228e-05,False
504,14,30,0.0,7.378676450734567e-05,False
504,14,30,0.1,6.342728501102636e-05,False
504,14,30,0.25,5.822055254269496e-05,False
504,14,30,0.5,5.57693587423105e-05,False
504,14,30,0.75,5.4810891593468406e-05,False
504,14,30,0.9,5.5714229717753583e-05,False
